Subfund_Code,Share_Class_Code,Valuation_Date,Subfund_CCY,Net_Asset_Value,Nb_Shares_Outstanding,NAV_Per_Share,CCY_NAV_share,ISIN_Code,Nb_Shares_Subscribed,Amount_Subscribed,Nb_Shares_Redeemed,Amount_Redeemed,Subfund_Long_Name,Dividend_Per_Share,Dividend_Payment_Date,Dividend_PCCY,Dividend_Payment_CCY,Dividend_Subfund_CCY,Total_Net_Assets
2,C,23/04/2018,USD,254929237.2,1544902.091,194.7118,USD,LU1234DEMO2C,0,0,0.4838,79.2842,NA,0,0,0,0,USD,254929237.2
2,C,24/04/2018,USD,254455106.7,1544902.091,194.3578,USD,LU1234DEMO2C,28207.7348,4672799.87,0,0,NA,0,0,0,0,USD,254455106.7
2,C,25/04/2018,USD,254522990.9,1547639.844,194.0628,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,254522990.9
2,C,26/04/2018,USD,255335037.5,1547639.844,194.6764,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,255335037.5
2,C,27/04/2018,USD,244512731.8,1483913.472,194.4404,USD,LU1234DEMO2C,2737.7534,450925.0348,0,0,NA,0,0,0,0,USD,244512731.8
2,C,30/04/2018,USD,244270771.2,1483514.632,194.2988,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,244270771.2
2,C,02/05/2018,USD,244763047.6,1483115.792,194.7354,USD,LU1234DEMO2C,0,0,63726.372,10513800.09,NA,0,0,0,0,USD,244763047.6
2,C,03/05/2018,USD,233122993.6,1412329.94,194.7708,USD,LU1234DEMO2C,0,0,398.84,65671.72,NA,0,0,0,0,USD,233122993.6
2,C,04/05/2018,USD,234056103.9,1412476.437,195.5378,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,234056103.9
2,C,07/05/2018,USD,234933345.3,1410942.437,196.4818,USD,LU1234DEMO2C,0,0,70785.84,11682000.12,NA,0,0,0,0,USD,234933345.3
2,C,08/05/2018,USD,235212711.9,1410942.437,196.7178,USD,LU1234DEMO2C,146.497,24181.5748,0,0,NA,0,0,0,0,USD,235212711.9
2,C,09/05/2018,USD,235338426.9,1410942.437,196.824,USD,LU1234DEMO2C,0,0,1534,254193.3108,NA,0,0,0,0,USD,235338426.9
2,C,11/05/2018,USD,235939065,1410942.437,197.3196,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,235939065
2,C,14/05/2018,USD,236411947.4,1411263.799,197.6736,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,236411947.4
2,C,15/05/2018,USD,236260732.9,1411612.477,197.4966,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,236260732.9
2,C,16/05/2018,USD,255895350.5,1527570.192,197.6736,USD,LU1234DEMO2C,321.3494,53737.1292,0,0,NA,0,0,0,0,USD,255895350.5
2,C,17/05/2018,USD,256198121.4,1527932.818,197.8624,USD,LU1234DEMO2C,348.6782,58409.8348,0,0,NA,0,0,0,0,USD,256198121.4
2,C,18/05/2018,USD,256100740.9,1527171.718,197.886,USD,LU1234DEMO2C,115957.715,19407773.38,0,0,NA,0,0,0,0,USD,256100740.9
2,C,22/05/2018,USD,254567051.4,1518115.69,197.8742,USD,LU1234DEMO2C,362.6258,60746.3174,761.1,127618.4278,NA,0,0,0,0,USD,254567051.4
2,C,23/05/2018,USD,253484938.5,1518115.69,197.0246,USD,LU1234DEMO2C,0,0,9056.028,1518660.189,NA,0,0,0,0,USD,253484938.5
2,C,24/05/2018,USD,253304586.4,1518115.69,196.883,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,253304586.4
2,C,25/05/2018,USD,253364703.7,1518115.69,196.9302,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,253364703.7
2,C,28/05/2018,USD,251066865.5,1502831.964,197.1308,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,251066865.5
2,C,29/05/2018,USD,262207404.7,1579814.881,195.8446,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,262207404.7
2,C,30/05/2018,USD,262786090.7,1579814.881,196.2812,USD,LU1234DEMO2C,2915.3552,486555.2882,18199.081,3037320.083,NA,0,0,0,0,USD,262786090.7
2,C,31/05/2018,USD,263005053.1,1579814.881,196.4464,USD,LU1234DEMO2C,81212.6622,13567591.35,4229.7572,706633.8196,NA,0,0,0,0,USD,263005053.1
2,C,01/06/2018,USD,263959103.3,1579814.881,197.1544,USD,LU1234DEMO2C,21115.4156,3504599.823,21115.4156,3504600.024,NA,0,0,0,0,USD,263959103.3
2,C,04/06/2018,USD,265069555.1,1579814.881,197.9922,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,265069555.1
2,C,05/06/2018,USD,265554400.2,1579814.881,198.3462,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,265554400.2
2,C,06/06/2018,USD,266492810.3,1579814.881,199.0542,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,266492810.3
2,C,07/06/2018,USD,265961044.6,1579814.881,198.653,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,265961044.6
2,C,08/06/2018,USD,265288517.5,1579814.881,198.1456,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,265288517.5
2,C,11/06/2018,USD,275509134.8,1637108.388,198.5822,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,275509134.8
2,C,12/06/2018,USD,276108807.6,1637108.388,199.0188,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,276108807.6
2,C,13/06/2018,USD,276261994.2,1637343.893,199.1014,USD,LU1234DEMO2C,57293.5076,9620944.492,0,0,NA,0,0,0,0,USD,276261994.2
2,C,14/06/2018,USD,285155642.4,1683633.405,199.8566,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,285155642.4
2,C,15/06/2018,USD,279200356.4,1649146.607,199.774,USD,LU1234DEMO2C,235.5044,39718.7292,0,0,NA,0,0,0,0,USD,279200356.4
2,C,18/06/2018,USD,278449335,1649146.607,199.2312,USD,LU1234DEMO2C,46289.512,7810230.114,0,0,NA,0,0,0,0,USD,278449335
2,C,19/06/2018,USD,276784026.7,1649146.607,198.0394,USD,LU1234DEMO2C,0,0,34486.7862,5841000.189,NA,0,0,0,0,USD,276784026.7
2,C,20/06/2018,USD,277812599.6,1649146.607,198.7828,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,277812599.6
2,C,21/06/2018,USD,276049331.9,1649146.607,197.5202,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,276049331.9
2,C,22/06/2018,USD,276245250.5,1649146.607,197.6618,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,276245250.5
2,C,25/06/2018,USD,273241165.1,1649146.607,195.5142,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,273241165.1
2,C,26/06/2018,USD,273469736.9,1649146.607,195.6794,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,273469736.9
2,C,27/06/2018,USD,268127864.2,1621094.313,195.172,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,268127864.2
